plotid,sampleid,sample_internal_id,lon,lat,imagery_title,for2000,for2008,for2021,fcc_p1,fcc_p2,for2021_fnf,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,gain,lossyear,treecover2000
12,179,750583201,166.0698489078025,-21.720833505161423,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
12,180,750583202,166.070139,-21.721372494333593,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,33
12,181,750583203,166.070139,-21.721103000000017,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
12,182,750583204,166.070139,-21.720833505161423,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,9
12,183,750583205,166.07042909219751,-21.721372494333593,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
12,184,750583206,166.07042909219751,-21.721103000000017,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
12,185,750583207,166.07042909219751,-21.720833505161423,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,21
13,193,750583208,166.07042890781054,-21.72136849433359,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
13,194,750583209,166.07042890781054,-21.721098999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
13,195,750583210,166.07042890781054,-21.72082950516142,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,21
13,196,750583211,166.070719,-21.72136849433359,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,29
13,197,750583212,166.070719,-21.721098999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,13
13,198,750583213,166.070719,-21.72082950516142,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,26
13,199,750583214,166.07100909218943,-21.72136849433359,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
13,200,750583215,166.07100909218943,-21.721098999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,13
13,201,750583216,166.07100909218943,-21.72082950516142,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
14,209,750583217,165.89410490023388,-21.725124494333546,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,39
14,210,750583218,165.89410490023388,-21.72485499999999,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,39
14,211,750583219,165.89410490023388,-21.72458550516137,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,45
14,212,750583220,165.894395,-21.725124494333546,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,1,1,3,3,3,3,1,5,71
14,213,750583221,165.894395,-21.72485499999999,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,1,1,3,3,3,3,1,5,71
14,214,750583222,165.894395,-21.72458550516137,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
14,215,750583223,165.8946850997661,-21.725124494333546,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
14,216,750583224,165.8946850997661,-21.72485499999999,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
14,217,750583225,165.8946850997661,-21.72458550516137,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
15,225,750583226,165.91878789121077,-21.729596494333492,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,1,1,3,3,3,3,1,2,70
15,226,750583227,165.91878789121077,-21.729327,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,1,NA,45
15,227,750583228,165.91878789121077,-21.72905750516132,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
15,228,750583229,165.919078,-21.729596494333492,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,1,1,3,3,3,3,1,2,97
15,229,750583230,165.919078,-21.729327,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
15,230,750583231,165.919078,-21.72905750516132,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,45
15,231,750583232,165.91936810878926,-21.729596494333492,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,44
15,232,750583233,165.91936810878926,-21.729327,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
15,233,750583234,165.91936810878926,-21.72905750516132,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
16,241,750583235,165.89183788270807,-21.733809494333443,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,4,4,0,NA,39
16,242,750583236,165.89183788270807,-21.73354000000002,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,4,4,4,4,0,NA,0
16,243,750583237,165.89183788270807,-21.73327050516129,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,2,2,2,2,2,2,0,NA,28
16,244,750583238,165.892128,-21.733809494333443,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,0
16,245,750583239,165.892128,-21.73354000000002,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,1,NA,0
16,246,750583240,165.892128,-21.73327050516129,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
16,247,750583241,165.89241811729192,-21.733809494333443,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,0
16,248,750583242,165.89241811729192,-21.73354000000002,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,0
16,249,750583243,165.89241811729192,-21.73327050516129,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,0
17,257,750583244,165.89792988277472,-21.73377649433344,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
17,258,750583245,165.89792988277472,-21.733507000000017,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
17,259,750583246,165.89792988277472,-21.733237505161284,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,0
17,260,750583247,165.89822,-21.73377649433344,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
17,261,750583248,165.89822,-21.733507000000017,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
17,262,750583249,165.89822,-21.733237505161284,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,4,4,0,NA,0
17,263,750583250,165.89851011722536,-21.73377649433344,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
17,264,750583251,165.89851011722536,-21.733507000000017,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
17,265,750583252,165.89851011722536,-21.733237505161284,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
18,273,750583253,165.90113387843272,-21.73592749433341,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,43
18,274,750583254,165.90113387843272,-21.735658,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,39
18,275,750583255,165.90113387843272,-21.73538850516124,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,45
18,276,750583256,165.901424,-21.73592749433341,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,22
18,277,750583257,165.901424,-21.735658,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,2,81
18,278,750583258,165.901424,-21.73538850516124,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
18,279,750583259,165.90171412156724,-21.73592749433341,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
18,280,750583260,165.90171412156724,-21.735658,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
18,281,750583261,165.90171412156724,-21.73538850516124,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,52
19,289,750583262,165.9217288786629,-21.735813494333417,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,1,1,3,3,3,3,1,2,81
19,290,750583263,165.9217288786629,-21.735544000000004,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,2,2,3,3,1,2,55
19,291,750583264,165.9217288786629,-21.735274505161257,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,1,1,2,2,2,2,1,2,64
19,292,750583265,165.922019,-21.735813494333417,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,2,79
19,293,750583266,165.922019,-21.735544000000004,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,2,78
19,294,750583267,165.922019,-21.735274505161257,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,1,1,2,2,3,3,0,2,62
19,295,750583268,165.92230912133715,-21.735813494333417,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,2,55
19,296,750583269,165.92230912133715,-21.735544000000004,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
19,297,750583270,165.92230912133715,-21.735274505161257,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
20,305,750583271,165.90867687797046,-21.736156494333414,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,0
20,306,750583272,165.90867687797046,-21.735887000000005,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,22
20,307,750583273,165.90867687797046,-21.735617505161244,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
20,308,750583274,165.90896700000002,-21.736156494333414,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
20,309,750583275,165.90896700000002,-21.735887000000005,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,1,NA,0
20,310,750583276,165.90896700000002,-21.735617505161244,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,1,NA,20
20,311,750583277,165.90925712202952,-21.736156494333414,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
20,312,750583278,165.90925712202952,-21.735887000000005,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,39
20,313,750583279,165.90925712202952,-21.735617505161244,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,43
21,321,750583280,165.9217338770217,-21.736626494333407,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,45
