system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
23357,6,6,6,6,6,6,1,0,23357,-21.61398,166.08036012320215,0,,24,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.613980000000005]}"
23358,6,6,6,6,6,6,1,0,23358,-21.613710505162786,166.08036012320215,0,,20,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.61371050516279]}"
23359,6,6,6,6,6,6,1,0,23359,-21.61424949433496,166.08065,0,,62,"{""type"":""Point"",""coordinates"":[166.08065,-21.61424949433496]}"
23360,6,6,6,6,6,6,1,0,23360,-21.61398,166.08065,0,,67,"{""type"":""Point"",""coordinates"":[166.08065,-21.613979999999998]}"
23361,6,6,6,6,6,6,1,0,23361,-21.613710505162786,166.08065,0,,55,"{""type"":""Point"",""coordinates"":[166.08065,-21.613710505162786]}"
23362,1,1,2,2,2,2,1,0,23362,-21.61424949433496,166.0809398767978,0,,52,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.614249494334963]}"
23363,6,6,6,6,4,4,1,0,23363,-21.61398,166.0809398767978,0,,55,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.613980000000005]}"
23364,6,6,6,6,6,6,1,0,23364,-21.613710505162786,166.0809398767978,0,,58,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.613710505162786]}"
23365,6,6,6,6,6,6,1,0,23365,-21.61424949433496,166.08036012320215,0,,37,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.61424949433496]}"
23366,6,6,6,6,6,6,1,0,23366,-21.61398,166.08036012320215,0,,24,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.613980000000005]}"
23367,6,6,6,6,6,6,1,0,23367,-21.78267,165.87704978340116,0,,47,"{""type"":""Point"",""coordinates"":[165.87704978340116,-21.782670000000003]}"
23368,6,6,6,6,6,6,1,0,23368,-21.613710505162786,166.08036012320215,0,,20,"{""type"":""Point"",""coordinates"":[166.08036012320215,-21.61371050516279]}"
23369,6,6,6,6,6,6,1,0,23369,-21.61424949433496,166.08065,0,,62,"{""type"":""Point"",""coordinates"":[166.08065,-21.61424949433496]}"
23370,6,6,6,6,6,6,1,0,23370,-21.61398,166.08065,0,,67,"{""type"":""Point"",""coordinates"":[166.08065,-21.613979999999998]}"
