system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,loss,lossyear,treecover2000,.geo
100,6,6,6,6,6,6,1,0,100,0,,45,"{""type"":""Point"",""coordinates"":[165.296166,-21.38819249433785]}"
101,6,6,6,6,6,6,1,0,101,0,,45,"{""type"":""Point"",""coordinates"":[165.296166,-21.387923000000004]}"
102,1,1,1,1,1,1,1,0,102,0,,52,"{""type"":""Point"",""coordinates"":[165.296166,-21.3876535051657]}"
103,6,6,6,6,6,6,1,0,103,0,,45,"{""type"":""Point"",""coordinates"":[165.29645542661314,-21.38819249433785]}"
104,6,6,6,6,6,6,1,0,104,0,,45,"{""type"":""Point"",""coordinates"":[165.29645542661314,-21.387923]}"
105,6,6,6,6,6,6,1,0,105,0,,49,"{""type"":""Point"",""coordinates"":[165.29645542661314,-21.3876535051657]}"
106,6,6,6,6,4,4,1,0,106,0,,85,"{""type"":""Point"",""coordinates"":[165.30074961842124,-21.365414494338147]}"
107,1,2,2,2,3,3,1,0,107,0,,59,"{""type"":""Point"",""coordinates"":[165.30074961842124,-21.365144999999995]}"
108,1,1,1,1,1,1,1,0,108,0,,59,"{""type"":""Point"",""coordinates"":[165.30074961842124,-21.364875505165983]}"
109,6,6,6,6,6,6,1,0,109,0,,60,"{""type"":""Point"",""coordinates"":[165.301039,-21.365414494338147]}"
110,1,2,2,2,3,3,1,0,110,0,,62,"{""type"":""Point"",""coordinates"":[165.301039,-21.365145]}"
111,1,1,1,1,1,1,1,0,111,0,,62,"{""type"":""Point"",""coordinates"":[165.301039,-21.364875505165983]}"
112,6,6,6,6,6,6,1,0,112,0,,60,"{""type"":""Point"",""coordinates"":[165.30132838157883,-21.36541449433815]}"
113,3,3,3,3,3,3,1,0,113,0,,59,"{""type"":""Point"",""coordinates"":[165.30132838157883,-21.365144999999995]}"
114,1,1,1,1,1,1,1,0,114,0,,59,"{""type"":""Point"",""coordinates"":[165.30132838157883,-21.364875505165983]}"
115,1,1,2,2,2,2,1,0,115,0,,97,"{""type"":""Point"",""coordinates"":[165.30477164573733,-21.35158349433831]}"
116,1,1,2,2,2,2,1,0,116,0,,97,"{""type"":""Point"",""coordinates"":[165.30477164573733,-21.351314]}"
117,1,1,2,2,2,2,1,0,117,0,,95,"{""type"":""Point"",""coordinates"":[165.30477164573733,-21.35104450516617]}"
118,1,1,2,2,2,2,1,0,118,0,,97,"{""type"":""Point"",""coordinates"":[165.30506100000002,-21.35158349433831]}"
119,1,1,3,3,4,4,1,0,119,0,,97,"{""type"":""Point"",""coordinates"":[165.30506100000002,-21.351314]}"
120,1,1,2,2,2,2,1,0,120,0,,95,"{""type"":""Point"",""coordinates"":[165.30506100000002,-21.35104450516617]}"
121,1,1,3,3,3,3,1,0,121,0,,86,"{""type"":""Point"",""coordinates"":[165.30507363449834,-21.357275494338253]}"
122,1,1,3,3,3,3,1,0,122,0,,79,"{""type"":""Point"",""coordinates"":[165.30507363449834,-21.357006000000002]}"
123,1,1,3,3,3,3,1,0,123,1,5,81,"{""type"":""Point"",""coordinates"":[165.30507363449834,-21.356736505166097]}"
124,1,1,1,1,1,1,1,0,124,0,,90,"{""type"":""Point"",""coordinates"":[165.30535035426263,-21.35158349433831]}"
125,1,1,2,2,2,2,1,0,125,0,,95,"{""type"":""Point"",""coordinates"":[165.30535035426263,-21.351314]}"
126,1,1,2,2,2,2,1,0,126,0,,90,"{""type"":""Point"",""coordinates"":[165.30535035426263,-21.351044505166172]}"
127,1,1,3,3,3,3,1,0,127,0,,66,"{""type"":""Point"",""coordinates"":[165.305363,-21.357275494338253]}"
128,1,1,3,3,3,3,1,0,128,0,,66,"{""type"":""Point"",""coordinates"":[165.305363,-21.357006]}"
129,1,1,3,3,3,3,1,0,129,1,5,64,"{""type"":""Point"",""coordinates"":[165.305363,-21.3567365051661]}"
130,1,1,3,3,3,3,1,0,130,1,4,81,"{""type"":""Point"",""coordinates"":[165.30565236550163,-21.357275494338257]}"
131,1,1,3,3,3,3,1,0,131,0,,67,"{""type"":""Point"",""coordinates"":[165.30565236550163,-21.357006000000002]}"
132,1,1,3,3,3,3,1,0,132,1,5,82,"{""type"":""Point"",""coordinates"":[165.30565236550163,-21.3567365051661]}"
133,1,1,3,3,3,4,1,0,133,1,4,90,"{""type"":""Point"",""coordinates"":[165.30565563128908,-21.358900494338243]}"
134,1,1,3,3,3,4,1,0,134,1,4,90,"{""type"":""Point"",""coordinates"":[165.30565563128908,-21.358631000000003]}"
135,1,1,3,3,3,4,1,0,135,0,,82,"{""type"":""Point"",""coordinates"":[165.30565563128908,-21.358361505166076]}"
136,1,1,3,3,3,4,1,0,136,0,,90,"{""type"":""Point"",""coordinates"":[165.305945,-21.358900494338243]}"
137,1,1,3,3,3,3,1,0,137,0,,81,"{""type"":""Point"",""coordinates"":[165.305945,-21.358631000000003]}"
138,1,1,3,3,4,4,1,0,138,0,,73,"{""type"":""Point"",""coordinates"":[165.305945,-21.358361505166076]}"
139,1,1,3,3,4,4,1,0,139,1,4,90,"{""type"":""Point"",""coordinates"":[165.30623436871093,-21.358900494338243]}"
140,1,1,3,3,3,4,1,0,140,1,4,90,"{""type"":""Point"",""coordinates"":[165.30623436871093,-21.358631000000006]}"
141,1,1,3,3,4,4,1,0,141,1,4,90,"{""type"":""Point"",""coordinates"":[165.30623436871093,-21.358361505166076]}"
142,6,6,6,6,6,6,1,0,142,0,,90,"{""type"":""Point"",""coordinates"":[165.30631355572294,-21.397118494337725]}"
143,1,3,3,3,3,3,1,0,143,0,,78,"{""type"":""Point"",""coordinates"":[165.30631355572294,-21.396849000000003]}"
144,1,1,1,1,4,4,1,0,144,0,,62,"{""type"":""Point"",""coordinates"":[165.30631355572294,-21.39657950516559]}"
145,1,2,3,3,3,3,1,0,145,0,,62,"{""type"":""Point"",""coordinates"":[165.306603,-21.39711849433773]}"
146,1,1,1,1,4,4,1,0,146,0,,62,"{""type"":""Point"",""coordinates"":[165.306603,-21.396849000000003]}"
147,1,1,1,1,2,2,1,0,147,0,,63,"{""type"":""Point"",""coordinates"":[165.306603,-21.39657950516559]}"
148,6,6,6,6,6,6,1,0,148,0,,62,"{""type"":""Point"",""coordinates"":[165.30689244427705,-21.39711849433773]}"
149,6,6,4,4,4,4,1,0,149,0,,56,"{""type"":""Point"",""coordinates"":[165.30689244427705,-21.396849000000003]}"
150,6,6,6,6,4,4,1,0,150,0,,64,"{""type"":""Point"",""coordinates"":[165.30689244427705,-21.39657950516559]}"
151,1,1,2,2,2,2,1,0,151,1,3,90,"{""type"":""Point"",""coordinates"":[165.3082336559148,-21.34642749433839]}"
152,1,1,3,3,4,4,1,0,152,1,3,90,"{""type"":""Point"",""coordinates"":[165.3082336559148,-21.346158000000003]}"
153,1,1,2,2,2,2,1,0,153,1,5,97,"{""type"":""Point"",""coordinates"":[165.3082336559148,-21.345888505166247]}"
154,1,1,3,3,4,4,1,0,154,1,3,97,"{""type"":""Point"",""coordinates"":[165.308523,-21.34642749433839]}"
155,1,1,3,3,4,4,1,0,155,1,3,90,"{""type"":""Point"",""coordinates"":[165.308523,-21.346158000000003]}"
156,1,1,3,3,4,4,1,0,156,1,5,90,"{""type"":""Point"",""coordinates"":[165.308523,-21.345888505166247]}"
