plotid,sampleid,Classification_MAJ,Classification_2010
78,1238,Non Forêt,Non Forêt
78,1239,Non Forêt,Non Forêt
78,1240,Non Forêt,Non Forêt
78,1241,Non Forêt,Non Forêt
79,1249,Non Forêt,Non Forêt
79,1250,Non Forêt,Non Forêt
79,1251,Non Forêt,Non Forêt
79,1252,Non Forêt,Non Forêt
79,1253,Non Forêt,Non Forêt
79,1254,Non Forêt,Non Forêt
79,1255,Non Forêt,Non Forêt
79,1256,Non Forêt,Non Forêt
79,1257,Non Forêt,Non Forêt
80,1265,Non Forêt,Non Forêt
80,1266,Non Forêt,Non Forêt
80,1267,Non Forêt,Non Forêt
80,1268,Non Forêt,Non Forêt
80,1269,Non Forêt,Non Forêt
80,1270,Non Forêt,Non Forêt
80,1271,Non Forêt,Non Forêt
80,1272,Non Forêt,Non Forêt
80,1273,Non Forêt,Non Forêt
81,1281,Non Forêt,Non Forêt
81,1282,Non Forêt,Non Forêt
81,1283,Non Forêt,Non Forêt
81,1284,Non Forêt,Non Forêt
81,1285,Non Forêt,Non Forêt
81,1286,Non Forêt,Non Forêt
81,1287,Non Forêt,Non Forêt
81,1288,Non Forêt,Non Forêt
81,1289,Non Forêt,Non Forêt
82,1297,Non Forêt,Non Forêt
82,1298,Non Forêt,Non Forêt
82,1299,Non Forêt,Non Forêt
82,1300,Non Forêt,Non Forêt
82,1301,Non Forêt,Non Forêt
82,1302,Non Forêt,Non Forêt
82,1303,Non Forêt,Non Forêt
82,1304,Non Forêt,Non Forêt
82,1305,Non Forêt,Non Forêt
83,1313,Non Forêt,Non Forêt
83,1314,Non Forêt,Non Forêt
83,1315,Non Forêt,Non Forêt
83,1316,Non Forêt,Non Forêt
83,1317,Non Forêt,Non Forêt
83,1318,Non Forêt,Non Forêt
83,1319,Non Forêt,Forêt
83,1320,Non Forêt,Non Forêt
83,1321,Non Forêt,Non Forêt
84,1329,Non Forêt,Non Forêt
84,1330,Non Forêt,Non Forêt
84,1331,Non Forêt,Non Forêt
84,1332,Non Forêt,Non Forêt
84,1333,Non Forêt,Non Forêt
84,1334,Non Forêt,Non Forêt
84,1335,Non Forêt,Non Forêt
84,1336,Non Forêt,Non Forêt
84,1337,Non Forêt,Forêt
85,1345,Non Forêt,Forêt
85,1346,Forêt,Forêt
85,1347,Non Forêt,Forêt
85,1348,Non Forêt,Forêt
85,1349,Forêt,Forêt
85,1350,Non Forêt,Forêt
85,1351,Non Forêt,Non Forêt
85,1352,Forêt,Forêt
85,1353,Forêt,Forêt
86,1361,Forêt,Forêt
86,1362,Forêt,Forêt
86,1363,Forêt,Forêt
86,1364,Forêt,Non Forêt
86,1365,Forêt,Non Forêt
86,1366,Forêt,Non Forêt
86,1367,Forêt,Non Forêt
86,1368,Forêt,Non Forêt
86,1369,Forêt,Non Forêt
87,1377,Non Forêt,Non Forêt
87,1378,Non Forêt,Non Forêt
87,1379,Non Forêt,Non Forêt
87,1380,Non Forêt,Non Forêt
87,1381,Forêt,Forêt
87,1382,Non Forêt,Forêt
87,1383,Non Forêt,Non Forêt
87,1384,Forêt,Non Forêt
87,1385,Forêt,Forêt
88,1393,Non Forêt,Forêt
88,1394,Non Forêt,Forêt
88,1395,Non Forêt,Forêt
88,1396,Non Forêt,Non Forêt
88,1397,Non Forêt,Non Forêt
88,1398,Non Forêt,Non Forêt
88,1399,Non Forêt,Non Forêt
88,1400,Non Forêt,Non Forêt
88,1401,Non Forêt,Forêt
89,1409,Non Forêt,Non Forêt
89,1410,Non Forêt,Non Forêt
89,1411,Non Forêt,Non Forêt
89,1412,Non Forêt,Non Forêt
